index	committee	date	subject
1	Budget Oversight Hearing: Committee on the Judiciary & Public Safety	Thu, 11 Apr 2019 09:30:00 	
			Office of Neighborhood Safety and Engagement
			Department of Forensic Sciences
			Department of Corrections
			Corrections Information Council
2	Budget Oversight Hearing: Committee on the Judiciary & Public Safety	Thu, 11 Apr 2019 09:30:00 	
			Office of Neighborhood Safety and Engagement
			Department of Forensic Sciences
			Department of Corrections
			Corrections Information Council
3	Budget Oversight Hearing: Committee on Housing & Neighborhood Revitalization	Thu, 11 Apr 2019 10:00:00 	
			District of Columbia Housing Authority
4	Budget Oversight Hearing: Committee on Transportation & The Environment	Thu, 11 Apr 2019 11:00:00 	
			District Department of Transportation
5	Government Operations Public Roundtable (Cancelled)	Fri, 12 Apr 2019 14:30:00 	
			NoneType
6	Budget Oversight Hearing: Committee of Government Operations	Mon, 22 Apr 2019 10:00:00 	
			Office of Latino Affairs
			Office of Lesbian, Gay, Bisexual, Transgender & Questioning Affairs
			Office of African American Affairs
			Office of African Affairs
			Office of Asian and Pacific Islander Affairs
7	Education Public Hearing	Mon, 22 Apr 2019 11:00:00 	
			NoneType
8	Budget Oversight Hearing: Committee on Labor & Workforce Development	Mon, 22 Apr 2019 13:00:00 	
			Department of Employment Services (Public Witnesses Only)
			Workforce Investment Council (Public Witnesses Only)
9	Budget Oversight Hearing: Committee on the Judiciary & Public Safety	Mon, 22 Apr 2019 13:00:00 	
			Office of the Attorney General
10	Committee of the Whole Meeting	Tue, 23 Apr 2019 10:00:00 	
			NoneType
11	Committee of the Whole Public Hearing	Tue, 23 Apr 2019 13:00:00 	
			<a href="http://lims.dccouncil.us/Legislation/PR23-0129">PR23-129</a>
			 – Department of Consumer and Regulatory Affairs Ernest Chrappah Confirmation Resolution of 2019
12	Budget Oversight Hearing: Committee on Housing & Neighborhood Revitalization	Tue, 23 Apr 2019 13:30:00 	
			Department of Housing and Community Development
			Housing Production Trust Fund
13	Budget Oversight Hearing: Committee on Health	Tue, 23 Apr 2019 13:30:00 	
			District of Columbia Health Benefit Exchange Authority
14	Health Public Hearing	Tue, 23 Apr 2019 14:30:00 	
			<span style="font-size: 11.0pt; font-family: 'Calibri',sans-serif;"><a href="http://lims.dccouncil.us/Legislation/B23-0089">BILL 23-0089</a>, “HEALTH IMPACT ASSESSMENT PROGRAM ESTABLISHMENT ACT OF 2019”</span>
			<span style="font-size: 11.0pt; font-family: 'Calibri',sans-serif;"><a href="http://lims.dccouncil.us/Legislation/B23-0183">BILL 23-0183</a>, “CHILDREN AND YOUTH VISION SCREENING AMENDMENT ACT OF 2019”</span>
			<span style="font-size: 11.0pt; font-family: 'Calibri',sans-serif;"><a href="http://lims.dccouncil.us/Legislation/B23-0192">BILL 23-0192</a>, “COTTAGE FOOD EXPANSION AMENDMENT ACT OF 2019”</span>
			<span style="font-size: 11.0pt; font-family: 'Calibri',sans-serif;"><a href="http://lims.dccouncil.us/Legislation/B23-0198">BILL 23-0198</a>, “LEVERAGE FOR OUR FUTURE ACT OF 2019”</span>
