index	committee	date	subject
1	Budget Oversight Hearing: Committee on the Judiciary & Public Safety	Thu, 04 Apr 2019 09:30:00 	
			Office of Victim Services and Justice Grants
			Office of the Chief Medical Examiner
			Office of Unified Communications
2	Budget Oversight Hearing: Committee on the Judiciary & Public Safety	Thu, 04 Apr 2019 09:30:00 	
			Office of Victim Services and Justice Grants
			Office of the Chief Medical Examiner
			Office of Unified Communications
3	Budget Oversight Hearing: Committee on Facilities & Procurement	Thu, 04 Apr 2019 10:00:00 	
			Department of General Services
4	Budget Oversight Hearing: Committee on Human Services	Thu, 04 Apr 2019 10:00:00 	
			Department of Disability Services
			Office of Disability Rights
5	Budget Oversight Hearing: Committee on Education & Committee of the Whole	Thu, 04 Apr 2019 10:00:00 	
			District of Columbia Public Charter School Board
6	Committee of the Whole & Education Public Oversight Hearing	Thu, 04 Apr 2019 13:00:00 	
			<span style="font-size: 11.0pt; font-family: 'Calibri',sans-serif;">Improving School Attendance: Truancy, Chronic Absenteeism, and the Implementation of Reform Initiatives</span>
7	Budget Oversight Hearing: Committee on Recreation & Youth Affairs	Fri, 05 Apr 2019 10:00:00 	
			Department of Parks and Recreation
8	Budget Oversight Hearing: Committee on Labor & Workforce Development	Fri, 05 Apr 2019 10:00:00 	
			Office of Employee Appeals
			Public Employees Relations Board
9	Budget Oversight Hearing: Committee of the Whole	Fri, 05 Apr 2019 10:00:00 	
			Commission on the Arts and Humanities
10	Budget Oversight Hearing: Committee on Finance & Revenue	Fri, 05 Apr 2019 10:30:00 	
			Real Property Tax Appeals Commission
			DC Lottery
			Office of the Chief Financial Officer
11	Budget Oversight Hearing: Committee on Government Operations	Fri, 05 Apr 2019 14:00:00 	
			Office of Risk Management
			Office of Human Rights
			Office of Administrative Hearings
			Office of the Secretary
			Office of the Senior Advisor
12	Budget Oversight Hearing: Committee on Government Operations	Mon, 08 Apr 2019 10:00:00 	
			Office of Chief Technology Officer
			Office of Public-Private Partnerships
			Office of Veterans’ Affairs
			Office of Inspector General
13	Budget Oversight Hearing: Committee on Business & Economic Development	Mon, 08 Apr 2019 10:00:00 	
			Public Service Commission
			Office of the People’s Counsel
14	Budget Oversight Hearing: Committee on Recreation and Youth Affairs	Tue, 09 Apr 2019 10:00:00 	
			Deputy Mayor for Greater Economic Opportunity
			Commission on Fathers, Men,and Boys
15	Budget Oversight Hearing: Committee on Health	Tue, 09 Apr 2019 10:00:00 	
			Department of Health
16	Budget Oversight Hearing: Committee on Education & Committee of the Whole	Tue, 09 Apr 2019 10:30:00 	
			Office of the State Superintendent
17	Budget Oversight Hearing: Committee on Transportation & the Environment	Tue, 09 Apr 2019 11:00:00 	
			Department of Motor Vehicles
			Deputy Mayor for Operations and Infrastructure
18	Budget Oversight Hearing: Committee on Judiciary & Public Safety	Wed, 10 Apr 2019 09:30:00 	
			Board of Elections
			Office of Campaign Finance
			Board of Ethics and Government Accountability
19	Budget Oversight Hearing: Committee on Human Services	Wed, 10 Apr 2019 10:00:00 	
			Department of Human Services
20	Budget Oversight Hearing: Committee on Business & Economic Development	Wed, 10 Apr 2019 10:00:00 	
			Office of Cable Television, Film, Music and Entertainment
			Alcoholic Beverage Regulation Administration
			Office of the Deputy Mayor for Planning and Economic Development
21	Finance and Revenue Public Roundtable	Wed, 10 Apr 2019 10:00:00 	
			<span style="font-size: 11.0pt; font-family: 'Calibri',sans-serif;"><a href="http://lims.dccouncil.us/Legislation/PR23-0192">PR23-192</a>, the “Friendship Public Charter School, Inc. Revenue Bonds Project Approval Resolution of 2019”</span>
			<span style="font-size: 11.0pt; font-family: 'Calibri',sans-serif;"><a href="http://lims.dccouncil.us/Legislation/PR23-0200">PR23-200</a>, the “Edmund Burke School, Inc., Revenue Refunding Bonds Project Approval Resolution of 2019”</span>
1	Budget Oversight Hearing: Committee of the Whole	Wed, 10 Apr 2019 10:30:00 	
			Events DC
2	Budget Oversight Hearing: Committee of the Whole	Wed, 10 Apr 2019 10:30:00 	
			Events DC
