index	committee	date	subject
			NoneType
4	Legislative Meeting	Tue, 09 Jul 2019 10:00:00 	
			NoneType
5	Health Public Oversight Hearing	Wed, 10 Jul 2019 10:00:00 	
			The Not-For-Profit Hospital Corporation
6	Human Services & Housing & Neighborhood Revitalization Public Hearing	Thu, 11 Jul 2019 10:00:00 	
			http://lims.dccouncil.us/Legislation/B23-0180
			, “On-Site Services Act of 2019”
7	Judiciary and Public Safety Public Hearing	Thu, 11 Jul 2019 10:00:00 	
			http://lims.dccouncil.us/Legislation/B23-0039
			 – the “Special Education Rights for Youth Defendants Amendment Act of 2019” and
			http://lims.dccouncil.us/Legislation/B23-0095
			 – the “Protecting Children Through Mandatory Reporting Amendment Act of 2019”
8	Recreation and Youth Affairs Public Hearing	Thu, 11 Jul 2019 11:00:00 	
			NoneType
9	Labor & Workforce Development Public Oversight Roundtable	Thu, 11 Jul 2019 13:00:00 	
			“Implementation of Law 21-264, The Universal Paid Leave Act Amendment Act of 2016”
10	Legislative Meeting	Tue, 17 Sep 2019 10:00:00 	
			NoneType
11	Committee of the Whole Meeting	Tue, 17 Sep 2019 10:00:00 	
			NoneType
12	Committee of the Whole & Education Public Hearing	Wed, 02 Oct 2019 10:00:00 	
			http://lims.dccouncil.us/Legislation/B23-0199
			http://lims.dccouncil.us/Legislation/B23-0281
13	Legislative Meeting	Tue, 08 Oct 2019 10:00:00 	
			NoneType
14	Committee of the Whole Meeting	Tue, 22 Oct 2019 10:00:00 	
			NoneType
15	Legislative Meeting	Tue, 05 Nov 2019 10:00:00 	
			NoneType
16	Committee of the Whole Meeting	Tue, 19 Nov 2019 10:00:00 	
			NoneType
17	Legislative Meeting	Tue, 03 Dec 2019 10:00:00 	
			NoneType
18	Committee of the Whole Meeting	Tue, 17 Dec 2019 10:00:00 	
			NoneType
1	missing-committee	NONETYPE	
			<a class="button-text-link text--large" href="http://dccouncil.us/events/list/?tribe_event_display=list&amp;tribe_paged=2"> ‹ Past Events </a>
1	missing-committee	NONETYPE	
			<a class="button-text-link text--large" href="http://dccouncil.us/events/list/?tribe_event_display=list&amp;tribe_paged=3"> ‹ Past Events </a>
