index	committee	date	subject
1	Transportation & the Environment Public Roundtable	Mon, 20 May 2019 11:00:00 	
			<a href="http://lims.dccouncil.us/Legislation/PR23-0127">PR23-127</a>
			 – the Department of Public Works Christopher Geldart Confirmation Resolution of 2019
			<a href="http://lims.dccouncil.us/Legislation/PR23-0146">PR23-146</a>
			 – the Green Finance Authority Board Brandi Colander Confirmation Resolution of 2019;
			<a href="http://lims.dccouncil.us/Legislation/PR23-0147">PR23-147</a>
			 – the Green Finance Authority Board Hannah Hawkins Confirmation Resolution of 2019;
			<a href="http://lims.dccouncil.us/Legislation/PR23-0148">PR23-148</a>
			 – the Green Finance Authority Edward Hubbard Confirmation Resolution of 2019;
			<a href="http://lims.dccouncil.us/Legislation/PR23-0243">PR23-243</a>
			 – the Green Finance Authority Board Todd Monash Confirmation Resolution of 2019;
			<a href="http://lims.dccouncil.us/Legislation/PR23-0244">PR23-244</a>
			 – the Green Finance Authority Board Priya Jayschandran Confirmation Resolution of 2019;
			<a href="http://lims.dccouncil.us/Legislation/PR23-0245">PR23-245</a>
			 – the Green Finance Authority Board Lori Chatman Confirmation Resolution of 2019; and
			<a href="http://lims.dccouncil.us/Legislation/PR23-0246">PR23-246</a>
			 – the Green Finance Authority Board Ricardo Nogueira Confirmation Resolution of 2019.
2	Transportation & the Environment Public Roundtable	Mon, 20 May 2019 11:00:00 	
			<a href="http://lims.dccouncil.us/Legislation/PR23-0127">PR23-127</a>
			 – the Department of Public Works Christopher Geldart Confirmation Resolution of 2019
			<a href="http://lims.dccouncil.us/Legislation/PR23-0146">PR23-146</a>
			 – the Green Finance Authority Board Brandi Colander Confirmation Resolution of 2019;
			<a href="http://lims.dccouncil.us/Legislation/PR23-0147">PR23-147</a>
			 – the Green Finance Authority Board Hannah Hawkins Confirmation Resolution of 2019;
			<a href="http://lims.dccouncil.us/Legislation/PR23-0148">PR23-148</a>
			 – the Green Finance Authority Edward Hubbard Confirmation Resolution of 2019;
			<a href="http://lims.dccouncil.us/Legislation/PR23-0243">PR23-243</a>
			 – the Green Finance Authority Board Todd Monash Confirmation Resolution of 2019;
			<a href="http://lims.dccouncil.us/Legislation/PR23-0244">PR23-244</a>
			 – the Green Finance Authority Board Priya Jayschandran Confirmation Resolution of 2019;
			<a href="http://lims.dccouncil.us/Legislation/PR23-0245">PR23-245</a>
			 – the Green Finance Authority Board Lori Chatman Confirmation Resolution of 2019; and
			<a href="http://lims.dccouncil.us/Legislation/PR23-0246">PR23-246</a>
			 – the Green Finance Authority Board Ricardo Nogueira Confirmation Resolution of 2019.
3	Finance & Revenue Public Roundtable	Tue, 21 May 2019 10:00:00 	
			<span style="font-size: 11.0pt;"><a href="http://lims.dccouncil.us/Legislation/PR23-0286">PR23-286</a>, the “Board of Directors of the Washington Metropolitan Area Transit Authority Principal Member Corbett Price Reappointment Resolution of 2019”</span>
			<span style="font-size: 11.0pt;"><a href="http://lims.dccouncil.us/Legislation/PR23-0250">PR23-250</a>, the “Howard Tubman Quad Revenue Bonds Project Approval Resolution of 2019”</span>
			<span style="font-size: 11.0pt;"><a href="http://lims.dccouncil.us/Legislation/PR23-0251">PR23-251</a>, the “Shaed School Revenue Bonds Project Approval Resolution of 2019”</span>
			<span style="font-size: 11.0pt;"><a href="http://lims.dccouncil.us/Legislation/PR23-0284">PR23-284</a>, the “KIPP D.C. Public Charter School Revenue Bonds Project Approval Resolution of 2019”</span>
4	Human Services Public Hearing	Thu, 23 May 2019 10:00:00 	
			<a href="http://lims.dccouncil.us/Legislation/B23-0180">B23-180</a>
			 – the “On-Site Services Act of 2019”
5	Committee of the Whole Public Roundtable	Thu, 23 May 2019 10:00:00 	
			<a href="http://lims.dccouncil.us/Legislation/PR23-0201">PR23-201</a>
			, Citizen Review Panel Emily Smith Goering Reappointment Resolution of 2019
			<a href="http://lims.dccouncil.us/Legislation/PR23-0202">PR23-202</a>
			, Citizen Review Panel Emily M. Bloomfield Appointment Resolution of 2019
			<a href="http://lims.dccouncil.us/Legislation/PR23-0203">PR23-203</a>
			, Citizen Review Panel Shana N. Bartley Chairperson Designation Resolution of 2019
6	Committee of the Whole Public Roundtable	Thu, 23 May 2019 11:00:00 	
			<span style="font-size: 11.0pt; font-family: 'Calibri',sans-serif;"><a href="http://lims.dccouncil.us/Legislation/PR23-0241">PR23-241</a>, Board of Industrial Trades Shawn Ellis Confirmation Resolution of 2019</span>
			<span style="font-size: 11.0pt; font-family: 'Calibri',sans-serif;"><a href="http://lims.dccouncil.us/Legislation/PR23-0242">PR23-242</a>, Board of Industrial Trades Courtney Braxton Confirmation Resolution of 2019</span>
7	Committee of the Whole Meeting	Tue, 28 May 2019 10:00:00 	
			NoneType
8	Legislative Meeting	Tue, 28 May 2019 10:00:00 	
			NoneType
9	Health Public Oversight Roundtable	Wed, 29 May 2019 10:00:00 	
			The Not-For-Profit Hospital Corporation
10	Education Public Oversight Roundtable	Thu, 30 May 2019 10:00:00 	
			The District of Columbia State Athletic Association
11	Housing & Neighborhood Revitalization Public Hearing	Thu, 30 May 2019 10:00:00 	
			NoneType
12	Business & Economic Development Public Hearing	Mon, 03 Jun 2019 10:00:00 	
			<a href="http://lims.dccouncil.us/Legislation/B23-0075">B23-0075</a>
			 – the “Mypheduh Films dba Sankofa Video and Books Real Property Tax Exemption”
			<a href="http://lims.dccouncil.us/Legislation/B23-0086">B23-0086</a>
			 – the “Supermarket Tax Incentives Eligible Area Amendment Act of 2019,” and
			<a href="http://lims.dccouncil.us/Legislation/B23-0131">B23-0131</a>
			 – the “Ward 7 and Ward 8 Restaurant Incentive Program Establishment Program Establishment Act of 2019”
13	Legislative Meeting	Tue, 04 Jun 2019 10:00:00 	
			NoneType
14	Committee of the Whole & Education Joint Public Roundtable	Wed, 05 Jun 2019 10:00:00 	
			<a href="http://lims.dccouncil.us/Legislation/PR23-0193">PR23-0193</a>
			 – the “Master Facilities Plan Approval Resolution of 2019”
15	Health Public Hearing	Thu, 13 Jun 2019 10:00:00 	
			<a href="http://lims.dccouncil.us/Legislation/B23-0178">B23-178</a>
			, “Interagency Council on Behavioral Health Establishment Amendment Act of 2019”
16	Housing & Neighborhood Revitalization Public Hearing	Mon, 17 Jun 2019 10:00:00 	
			<a href="http://lims.dccouncil.us/Legislation/B23-0048">B23-0048</a>
			 – “Housing Conversion and Eviction Clarification Amendment Act of 2019” and
			<a href="http://lims.dccouncil.us/Legislation/B23-0123">B23-0123</a>
			 – “Housing Production Trust Fund Transparency Amendment Act of 2019”
17	Housing & Neighborhood Revitalization Public Hearing	Mon, 17 Jun 2019 10:00:00 	
			<a href="http://lims.dccouncil.us/Legislation/B23-0048">B23-48</a>
			 – Housing Conversion and Eviction Clarification Amendment Act of 2019
			<a href="http://lims.dccouncil.us/Legislation/B23-0123">B23-123</a>
			 – Housing Production Trust Fund Transparency Amendment Act of 2019
18	Committee of the Whole Meeting	Tue, 18 Jun 2019 10:00:00 	
			NoneType
19	Health Public Oversight Hearing	Thu, 20 Jun 2019 10:00:00 	
			The Not-For-Profit Hospital Corporation
20	Legislative Meeting	Tue, 25 Jun 2019 10:00:00 	
			NoneType
21	Committee of the Whole & Education Joint Public Hearing	Wed, 26 Jun 2019 10:00:00 	
			<a href="http://lims.dccouncil.us/Legislation/B23-0046">B23-46</a>
			 – the “At-Risk School Funding Transparency Amendment Act of 2019”
			<a href="http://lims.dccouncil.us/Legislation/B23-0239">B23-239</a>
			 – the “School Based Budgeting and Transparency Amendment Act of 2019”
1	Health Public Hearing	Wed, 26 Jun 2019 11:00:00 	
			<a href="http://lims.dccouncil.us/Legislation/B23-0171">B23-171</a>
			, “Minor Consent for Vaccinations Amendment Act of 2019”
			<a href="http://lims.dccouncil.us/Legislation/B23-0187">B23-187</a>
			, “Community Health Investment Act of 2019”
			<a href="http://lims.dccouncil.us/Legislation/B23-0214">B23-214</a>
			, “Direct Support Professional Payment Rate Act of 2019”
			<a href="http://lims.dccouncil.us/Legislation/B23-0261">B23-261</a>
			, “Electronic Medical Order for Scope pf Treatment Registry Amendment Act of 2019”
			<a href="http://lims.dccouncil.us/Legislation/B23-0269">B23-269</a>
			, “Health Care Reporting Amendment Act of 2019”
			<a href="http://lims.dccouncil.us/Legislation/B23-0275">B23-275</a>
			, “Clinics Licensing Amendment Act of 2019”
2	Health Public Hearing	Wed, 26 Jun 2019 11:00:00 	
			<a href="http://lims.dccouncil.us/Legislation/B23-0171">B23-171</a>
			, “Minor Consent for Vaccinations Amendment Act of 2019”
			<a href="http://lims.dccouncil.us/Legislation/B23-0187">B23-187</a>
			, “Community Health Investment Act of 2019”
			<a href="http://lims.dccouncil.us/Legislation/B23-0214">B23-214</a>
			, “Direct Support Professional Payment Rate Act of 2019”
			<a href="http://lims.dccouncil.us/Legislation/B23-0261">B23-261</a>
			, “Electronic Medical Order for Scope pf Treatment Registry Amendment Act of 2019”
			<a href="http://lims.dccouncil.us/Legislation/B23-0269">B23-269</a>
			, “Health Care Reporting Amendment Act of 2019”
			<a href="http://lims.dccouncil.us/Legislation/B23-0275">B23-275</a>
			, “Clinics Licensing Amendment Act of 2019”
3	Committee of the Whole Meeting	Tue, 09 Jul 2019 08:00:00 	
			NoneType
4	Legislative Meeting	Tue, 09 Jul 2019 10:00:00 	
			NoneType
5	Health Public Oversight Hearing	Wed, 10 Jul 2019 10:00:00 	
			The Not-For-Profit Hospital Corporation
6	Legislative Meeting	Tue, 17 Sep 2019 10:00:00 	
			NoneType
7	Committee of the Whole Meeting	Tue, 17 Sep 2019 10:00:00 	
			NoneType
8	Committee of the Whole & Education Public Hearing	Wed, 02 Oct 2019 10:00:00 	
			<span style="font-size: 11.0pt;"><a href="http://lims.dccouncil.us/Legislation/B23-0199">B23-0199</a>, the “Public School Transparency Amendment Act of 2019”</span>
			<span style="font-size: 11.0pt;"><a href="http://lims.dccouncil.us/Legislation/B23-0281">B23-0281</a>, the “Public Charter School Closure Amendment Act of 2019”</span>
9	Legislative Meeting	Tue, 08 Oct 2019 10:00:00 	
			NoneType
10	Committee of the Whole Meeting	Tue, 22 Oct 2019 10:00:00 	
			NoneType
11	Legislative Meeting	Tue, 05 Nov 2019 10:00:00 	
			NoneType
12	Committee of the Whole Meeting	Tue, 19 Nov 2019 10:00:00 	
			NoneType
13	Legislative Meeting	Tue, 03 Dec 2019 10:00:00 	
			NoneType
14	Committee of the Whole Meeting	Tue, 17 Dec 2019 10:00:00 	
			NoneType
1	missing-committee	NONETYPE	
			<a class="button-text-link text--large" href="http://dccouncil.us/events/list/?tribe_event_display=list&amp;tribe_paged=2"> ‹ Past Events </a>
1	missing-committee	NONETYPE	
			<a class="button-text-link text--large" href="http://dccouncil.us/events/list/?tribe_event_display=list&amp;tribe_paged=3"> ‹ Past Events </a>
