index	committee	date	subject
1	Government Operations Public Roundtable	Thu, 09 May 2019 09:00:00 	
			<a href="http://lims.dccouncil.us/Legislation/PR23-0184">PR23-184</a>
			 – Director of Office of Asian and Pacific Islander Affairs Ben de Guzman Confirmation Resolution of 2019
			<a href="http://lims.dccouncil.us/Legislation/PR23-0235">PR23-235</a>
			 – Secretary of the District of Columbia Kimberly Bassett Confirmation Resolution of 2019
2	Government Operations Public Roundtable	Thu, 09 May 2019 09:00:00 	
			<a href="http://lims.dccouncil.us/Legislation/PR23-0184">PR23-184</a>
			 – Director of Office of Asian and Pacific Islander Affairs Ben de Guzman Confirmation Resolution of 2019
			<a href="http://lims.dccouncil.us/Legislation/PR23-0235">PR23-235</a>
			 – Secretary of the District of Columbia Kimberly Bassett Confirmation Resolution of 2019
3	Business & Economic Development Public Hearing	Mon, 13 May 2019 10:00:00 	
			<a href="http://lims.dccouncil.us/Legislation/B23-0116">B23-0116</a>
			 – the “Warehousing and Storage Eminent Domain Authority Act of 2019”
			<a href="http://lims.dccouncil.us/Legislation/B23-0117">B23-0117</a>
			 – the “Underground Facilities Protection Amendment Act of 2019” and
			<a href="http://lims.dccouncil.us/Legislation/B23-0135">B23-0135</a>
			 – the “Power Line Undergrounding Program Certified Business Enterprise Utilization Amendment Act of 2019”
4	Legislative Meeting	Tue, 14 May 2019 10:00:00 	
			NoneType
5	Committee of the Whole Meeting	Tue, 14 May 2019 10:00:00 	
			NoneType
6	Business & Economic Development Public Hearing (CANCELED)	Wed, 15 May 2019 10:00:00 	
			NoneType
7	Transportation & the Environment Public Roundtable	Mon, 20 May 2019 11:00:00 	
			<a href="http://lims.dccouncil.us/Legislation/PR23-0127">PR23-127</a>
			 – the Department of Public Works Christopher Geldart Confirmation Resolution of 2019
			<a href="http://lims.dccouncil.us/Legislation/PR23-0146">PR23-146</a>
			 – the Green Finance Authority Board Brandi Colander Confirmation Resolution of 2019;
			<a href="http://lims.dccouncil.us/Legislation/PR23-0147">PR23-147</a>
			 – the Green Finance Authority Board Hannah Hawkins Confirmation Resolution of 2019;
			<a href="http://lims.dccouncil.us/Legislation/PR23-0148">PR23-148</a>
			 – the Green Finance Authority Edward Hubbard Confirmation Resolution of 2019;
			<a href="http://lims.dccouncil.us/Legislation/PR23-0243">PR23-243</a>
			 – the Green Finance Authority Board Todd Monash Confirmation Resolution of 2019;
			<a href="http://lims.dccouncil.us/Legislation/PR23-0244">PR23-244</a>
			 – the Green Finance Authority Board Priya Jayschandran Confirmation Resolution of 2019;
			<a href="http://lims.dccouncil.us/Legislation/PR23-0245">PR23-245</a>
			 – the Green Finance Authority Board Lori Chatman Confirmation Resolution of 2019; and
			<a href="http://lims.dccouncil.us/Legislation/PR23-0246">PR23-246</a>
			 – the Green Finance Authority Board Ricardo Nogueira Confirmation Resolution of 2019.
8	Human Services Public Hearing	Thu, 23 May 2019 10:00:00 	
			<a href="http://lims.dccouncil.us/Legislation/B23-0180">B23-180</a>
			 – the “On-Site Services Act of 2019”
9	Committee of the Whole Public Roundtable	Thu, 23 May 2019 10:00:00 	
			<a href="http://lims.dccouncil.us/Legislation/PR23-0201">PR23-201</a>
			, Citizen Review Panel Emily Smith Goering Reappointment Resolution of 2019
			<a href="http://lims.dccouncil.us/Legislation/PR23-0202">PR23-202</a>
			, Citizen Review Panel Emily M. Bloomfield Appointment Resolution of 2019
			<a href="http://lims.dccouncil.us/Legislation/PR23-0203">PR23-203</a>
			, Citizen Review Panel Shana N. Bartley Chairperson Designation Resolution of 2019
10	Committee of the Whole Public Roundtable	Thu, 23 May 2019 11:00:00 	
			<span style="font-size: 11.0pt; font-family: 'Calibri',sans-serif;"><a href="http://lims.dccouncil.us/Legislation/PR23-0241">PR23-241</a>, Board of Industrial Trades Shawn Ellis Confirmation Resolution of 2019</span>
			<span style="font-size: 11.0pt; font-family: 'Calibri',sans-serif;"><a href="http://lims.dccouncil.us/Legislation/PR23-0242">PR23-242</a>, Board of Industrial Trades Courtney Braxton Confirmation Resolution of 2019</span>
11	Committee of the Whole Meeting	Tue, 28 May 2019 10:00:00 	
			NoneType
12	Legislative Meeting	Tue, 28 May 2019 10:00:00 	
			NoneType
13	Education Public Oversight Roundtable	Thu, 30 May 2019 10:00:00 	
			The District of Columbia State Athletic Association
14	Housing & Neighborhood Revitalization Public Hearing	Thu, 30 May 2019 10:00:00 	
			<a href="http://lims.dccouncil.us/Legislation/B23-0048">B23-0048</a>
			 – “Housing Conversion and Eviction Clarification Amendment Act of 2019” and
			<a href="http://lims.dccouncil.us/Legislation/B23-0123">B23-0123</a>
			 – “Housing Production Trust Fund Transparency Amendment Act of 2019”
15	Housing & Neighborhood Revitalization Public Hearing	Thu, 30 May 2019 10:00:00 	
			<a href="http://lims.dccouncil.us/Legislation/B23-0048">B23-48</a>
			 – Housing Conversion and Eviction Clarification Amendment Act of 2019
			<a href="http://lims.dccouncil.us/Legislation/B23-0123">B23-123</a>
