index	committee	date	subject
1	Judiciary & Public Safety Public Hearing	Thu, 13 Jun 2019 09:30:00 	
			“Expanding the Franchise: Strategies for Increasing Voter Registration and Turnout,”
			<a href="http://lims.dccouncil.us/Legislation/B23-0031">B23-31</a>
			 – the “Paid Leave to Vote Amendment Act of 2019,”
			<a href="http://lims.dccouncil.us/Legislation/B23-0126">B23-126</a>
			 – the “Improving Voter Registration for New Tenants and Homeowners Amendment Act of 2019,”
			<a href="http://lims.dccouncil.us/Legislation/B23-0165">B23-165</a>
			 – the “Initiative and Referendum Process Improvement Amendment Act of 2019.”
2	Judiciary & Public Safety Public Hearing	Thu, 13 Jun 2019 09:30:00 	
			“Expanding the Franchise: Strategies for Increasing Voter Registration and Turnout,”
			<a href="http://lims.dccouncil.us/Legislation/B23-0031">B23-31</a>
			 – the “Paid Leave to Vote Amendment Act of 2019,”
			<a href="http://lims.dccouncil.us/Legislation/B23-0126">B23-126</a>
			 – the “Improving Voter Registration for New Tenants and Homeowners Amendment Act of 2019,”
			<a href="http://lims.dccouncil.us/Legislation/B23-0165">B23-165</a>
			 – the “Initiative and Referendum Process Improvement Amendment Act of 2019.”
3	Health and Human Services Public Hearing	Thu, 13 Jun 2019 10:00:00 	
			<a href="http://lims.dccouncil.us/Legislation/B23-0214">B23-214</a>
			, the “Direct Support Professional Payment Rate Act of 2019”
4	Facilities & Procurement Public Roundtable	Thu, 13 Jun 2019 10:00:00 	
			<a href="http://lims.dccouncil.us/Legislation/PR23-0249">PR23-249</a>
			 – “Contract Appeals Board Nicholas Majett Confirmation Resolution of 2019”
5	Health Public Hearing	Thu, 13 Jun 2019 11:00:00 	
			<a href="http://lims.dccouncil.us/Legislation/B23-0178">B23-178</a>
			, “Interagency Council on Behavioral Health Establishment Amendment Act of 2019”
			<a href="http://lims.dccouncil.us/Legislation/PR23-0317">PR23-317</a>
			, “Director of the Department of Behavioral Heath Barbara Baron Confirmation Resolution of 2019,”
6	Housing & Neighborhood Revitalization Public Hearing	Mon, 17 Jun 2019 10:00:00 	
			<a href="http://lims.dccouncil.us/Legislation/B23-0048">B23-0048</a>
			 – “Housing Conversion and Eviction Clarification Amendment Act of 2019” and
			<a href="http://lims.dccouncil.us/Legislation/B23-0123">B23-0123</a>
			 – “Housing Production Trust Fund Transparency Amendment Act of 2019”
7	Committee of the Whole Meeting	Tue, 18 Jun 2019 10:00:00 	
			NoneType
8	Labor & Workforce Development Public Hearing	Wed, 19 Jun 2019 10:00:00 	
