index	committee	date	subject
1	Committee Mark-Up: Committee on Transportation and the Environment	Thu, 02 May 2019 10:00:00 	
			<a href="http://lims.dccouncil.us/Legislation/PR23-0163">PR23-0163</a>
			 – Historic Preservation Review Board Linda Greene Confirmation Resolution of 2019
			<a href="http://lims.dccouncil.us/Legislation/PR23-0164">PR23-0164 </a>
			– Historic Preservation Review Board Outerbridge Horsey Confirmation Resolution of 2019
			<a href="http://lims.dccouncil.us/Legislation/PR23-0165">PR23-0165</a>
			 – Historic Preservation Review Board Chris Landis Confirmation Resolution of 2019
2	Committee Mark-Up: Committee on Transportation and the Environment	Thu, 02 May 2019 10:00:00 	
			NoneType
3	Committee of the Whole Public Hearing	Thu, 02 May 2019 10:00:00 	
			<a href="http://lims.dccouncil.us/Legislation/PR23-0163">PR23-0163</a>
			 – Historic Preservation Review Board Linda Greene Confirmation Resolution of 2019
			<a href="http://lims.dccouncil.us/Legislation/PR23-0164">PR23-0164 </a>
			– Historic Preservation Review Board Outerbridge Horsey Confirmation Resolution of 2019
			<a href="http://lims.dccouncil.us/Legislation/PR23-0165">PR23-0165</a>
			 – Historic Preservation Review Board Chris Landis Confirmation Resolution of 2019
4	Committee Mark-Up: Committee on Recreation and Youth Affairs	Thu, 02 May 2019 11:15:00 	
			NoneType
5	Committee Mark-Up: Committee on the Judiciary	Thu, 02 May 2019 12:00:00 	
			NoneType
6	Committee Mark-Up: Committee on Education	Thu, 02 May 2019 14:00:00 	
			NoneType
7	Committee Mark-Up: Committee of the Whole	Thu, 02 May 2019 16:00:00 	
			NoneType
8	Housing & Neighborhood Revitalization Public Hearing	Mon, 06 May 2019 10:00:00 	
			<a href="http://lims.dccouncil.us/Legislation/B23-0048">B23-0048</a>
			 – “Housing Conversion and Eviction Clarification Amendment Act of 2019” and
			<a href="http://lims.dccouncil.us/Legislation/B23-0123">B23-0123</a>
			 – “Housing Production Trust Fund Transparency Amendment Act of 2019”
9	Committee of the Whole and Labor and Workforce Development Working Group	Mon, 06 May 2019 11:30:00 	
			NoneType
10	Judiciary and Public Safety Public Roundtable	Mon, 06 May 2019 13:00:00 	
			<a href="http://lims.dccouncil.us/Legislation/PR23-0120">PR23-120</a>
			 – the District of Columbia Board of Ethics and Government Accountability Charles Nottingham Confirmation Resolution of 2019
			<a href="http://lims.dccouncil.us/Legislation/PR23-0247">PR23-247</a>
			 – the District of Columbia Board of Ethics and Government Accountability Melissa Tucker Confirmation Resolution of 2019
			<a href="http://lims.dccouncil.us/Legislation/PR23-0248">PR23-248</a>
			 – the District of Columbia Board of Ethics and Government Accountability Felice C. Smith Confirmation Resolution of 2019
11	Labor & Workforce Development Public Oversight Roundtable	Mon, 06 May 2019 15:00:00 	
			Implementation of Law 21-264, The Universal Paid Leave Act
12	Legislative Meeting	Tue, 07 May 2019 10:00:00 	
			NoneType
13	Government Operations Public Roundtable	Thu, 09 May 2019 09:00:00 	
			<a href="http://lims.dccouncil.us/Legislation/PR23-0184">PR23-184</a>
			 – Director of Office of Asian and Pacific Islander Affairs Ben de Guzman Confirmation Resolution of 2019
			<a href="http://lims.dccouncil.us/Legislation/PR23-0235">PR23-235</a>
			 – Secretary of the District of Columbia Kimberly Bassett Confirmation Resolution of 2019
14	Business & Economic Development Public Hearing	Mon, 13 May 2019 10:00:00 	
			<a href="http://lims.dccouncil.us/Legislation/B23-0116">B23-0116</a>
			 – the “Warehousing and Storage Eminent Domain Authority Act of 2019”
			<a href="http://lims.dccouncil.us/Legislation/B23-0117">B23-0117</a>
			 – the “Underground Facilities Protection Amendment Act of 2019” and
			<a href="http://lims.dccouncil.us/Legislation/B23-0135">B23-0135</a>
			 – the “Power Line Undergrounding Program Certified Business Enterprise Utilization Amendment Act of 2019”
15	Business & Economic Development Public Hearing (CANCELED)	Wed, 15 May 2019 10:00:00 	
			NoneType
16	Transportation & the Environment Public Roundtable	Mon, 20 May 2019 11:00:00 	
			<a href="http://lims.dccouncil.us/Legislation/PR23-0127">PR23-127</a>
			 – the Department of Public Works Christopher Geldart Confirmation Resolution of 2019
			<a href="http://lims.dccouncil.us/Legislation/PR23-0146">PR23-146</a>
			 – the Green Finance Authority Board Brandi Colander Confirmation Resolution of 2019;
			<a href="http://lims.dccouncil.us/Legislation/PR23-0147">PR23-147</a>
			 – the Green Finance Authority Board Hannah Hawkins Confirmation Resolution of 2019;
			<a href="http://lims.dccouncil.us/Legislation/PR23-0148">PR23-148</a>
			 – the Green Finance Authority Edward Hubbard Confirmation Resolution of 2019;
			<a href="http://lims.dccouncil.us/Legislation/PR23-0243">PR23-243</a>
			 – the Green Finance Authority Board Todd Monash Confirmation Resolution of 2019;
			<a href="http://lims.dccouncil.us/Legislation/PR23-0244">PR23-244</a>
			 – the Green Finance Authority Board Priya Jayschandran Confirmation Resolution of 2019;
			<a href="http://lims.dccouncil.us/Legislation/PR23-0245">PR23-245</a>
			 – the Green Finance Authority Board Lori Chatman Confirmation Resolution of 2019; and
			<a href="http://lims.dccouncil.us/Legislation/PR23-0246">PR23-246</a>
			 – the Green Finance Authority Board Ricardo Nogueira Confirmation Resolution of 2019.
17	Committee of the Whole Meeting	Tue, 21 May 2019 10:00:00 	
			NoneType
18	Human Services Public Hearing	Thu, 23 May 2019 10:00:00 	
			<a href="http://lims.dccouncil.us/Legislation/B23-0180">B23-180</a>
			 – the “On-Site Services Act of 2019”
19	Education Public Oversight Roundtable	Thu, 30 May 2019 10:00:00 	
			The District of Columbia State Athletic Association
20	Housing & Neighborhood Revitalization Public Hearing	Thu, 30 May 2019 10:00:00 	
			<a href="http://lims.dccouncil.us/Legislation/B23-0048">B23-48</a>
			 – Housing Conversion and Eviction Clarification Amendment Act of 2019
			<a href="http://lims.dccouncil.us/Legislation/B23-0123">B23-123</a>
			 – Housing Production Trust Fund Transparency Amendment Act of 2019
21	Business & Economic Development Public Hearing	Mon, 03 Jun 2019 10:00:00 	
			<a href="http://lims.dccouncil.us/Legislation/B23-0075">B23-0075</a>
			 – the “Mypheduh Films dba Sankofa Video and Books Real Property Tax Exemption”
			<a href="http://lims.dccouncil.us/Legislation/B23-0086">B23-0086</a>
			 – the “Supermarket Tax Incentives Eligible Area Amendment Act of 2019,” and
			<a href="http://lims.dccouncil.us/Legislation/B23-0131">B23-0131</a>
			 – the “Ward 7 and Ward 8 Restaurant Incentive Program Establishment Program Establishment Act of 2019”
1	Legislative Meeting	Tue, 04 Jun 2019 10:00:00 	
			<a href="http://lims.dccouncil.us/Legislation/PR23-0193">PR23-0193</a>
			 – the “Master Facilities Plan Approval Resolution of 2019”
2	Legislative Meeting	Tue, 04 Jun 2019 10:00:00 	
			NoneType
3	Committee of the Whole & Education Joint Public Roundtable	Wed, 05 Jun 2019 10:00:00 	
			<a href="http://lims.dccouncil.us/Legislation/PR23-0193">PR23-0193</a>
			 – the “Master Facilities Plan Approval Resolution of 2019”
4	Committee of the Whole Meeting	Tue, 18 Jun 2019 10:00:00 	
			NoneType
5	Legislative Meeting	Tue, 25 Jun 2019 10:00:00 	
			NoneType
6	Committee of the Whole & Education Joint Public Hearing	Wed, 26 Jun 2019 10:00:00 	
			<a href="http://lims.dccouncil.us/Legislation/B23-0046">B23-46</a>
			 – the “At-Risk School Funding Transparency Amendment Act of 2019”
			<a href="http://lims.dccouncil.us/Legislation/B23-0239">B23-239</a>
			 – the “School Based Budgeting and Transparency Amendment Act of 2019”
7	Committee of the Whole Meeting	Tue, 09 Jul 2019 08:00:00 	
			NoneType
8	Legislative Meeting	Tue, 09 Jul 2019 10:00:00 	
			NoneType
9	Legislative Meeting	Tue, 17 Sep 2019 10:00:00 	
			NoneType
10	Committee of the Whole Meeting	Tue, 17 Sep 2019 10:00:00 	
			NoneType
11	Legislative Meeting	Tue, 08 Oct 2019 10:00:00 	
			NoneType
12	Committee of the Whole Meeting	Tue, 22 Oct 2019 10:00:00 	
			NoneType
13	Legislative Meeting	Tue, 05 Nov 2019 10:00:00 	
			NoneType
14	Committee of the Whole Meeting	Tue, 19 Nov 2019 10:00:00 	
			NoneType
15	Legislative Meeting	Tue, 03 Dec 2019 10:00:00 	
			NoneType
16	Committee of the Whole Meeting	Tue, 17 Dec 2019 10:00:00 	
			NoneType
1	missing-committee	NONETYPE	
			<a class="button-text-link text--large" href="http://dccouncil.us/events/list/?tribe_event_display=list&amp;tribe_paged=2"> ‹ Past Events </a>
1	missing-committee	NONETYPE	
